champion,icon_url,threat_level,notes
Aatrox,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Aatrox.png,medium,"Fight him level 1-2, avoid extended trades after 3. Build armor early."
Ahri,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ahri.png,medium,"Dodge her charm, all-in when her ultimate is down."
Akali,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Akali.png,hard,"Build early magic resist, save W for her shroud."
Akshan,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Akshan.png,medium,"Dodge his E, fight when his shield is down."
Alistar,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Alistar.png,easy,"Build armor, avoid his W-Q combo."
Ambessa,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ambessa.png,medium,"Build armor, avoid her spear." 
Amumu,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Amumu.png,easy,"Build magic resist, dodge his Q."
Anivia,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Anivia.png,hard,"Build magic resist, avoid her Q and wall."
Annie,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Annie.png,medium,"Watch her stun counter, build magic resist."
Aphelios,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Aphelios.png,easy,"All-in when his weapons are weak."
Ashe,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ashe.png,easy,"Dodge her ultimate, build armor."
Aurelion Sol,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/AurelionSol.png,medium,"Build magic resist, avoid his stars."
Aurora,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Aurora.png,medium,"Build magic resist, avoid her ice formations." 
Azir,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Azir.png,hard,"Build magic resist, avoid his soldiers."
Bard,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Bard.png,easy,"Build magic resist, avoid his Q stun."
Belveth,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Belveth.png,medium,"Build armor, avoid her true damage."
Blitzcrank,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Blitzcrank.png,easy,"Build armor, dodge his hook."
Brand,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Brand.png,medium,"Build magic resist, avoid his W."
Braum,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Braum.png,easy,"Build armor, avoid his passive."
Briar,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Briar.png,medium,"Build armor, avoid her blood frenzy."
Caitlyn,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Caitlyn.png,easy,"Build armor, dodge her traps."
Camille,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Camille.png,hard,"Build armor, avoid her E."
Cassiopeia,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Cassiopeia.png,hard,"Build magic resist, avoid her ultimate."
Chogath,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Chogath.png,medium,"Build armor, avoid his Q knockup."
Corki,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Corki.png,easy,"Build magic resist, avoid his package."
Darius,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Darius.png,hard,"Build armor, avoid extended trades."
Diana,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Diana.png,medium,"Build magic resist, avoid her Q-E combo."
Draven,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Draven.png,easy,"Build armor, avoid his axes."
DrMundo,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/DrMundo.png,easy,"Build armor, avoid his cleavers."
Ekko,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ekko.png,medium,"Build magic resist, avoid his W stun."
Elise,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Elise.png,medium,"Build magic resist, avoid her cocoon."
Evelynn,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Evelynn.png,medium,"Build magic resist, avoid her charm."
Ezreal,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ezreal.png,easy,"Build armor, dodge his Q."
Fiddlesticks,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Fiddlesticks.png,medium,"Build magic resist, avoid his fear."
Fiora,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Fiora.png,hard,"Build armor, avoid her vital procs."
Fizz,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Fizz.png,hard,"Build magic resist, avoid his E."
Galio,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Galio.png,medium,"Build magic resist, avoid his taunt."
Gangplank,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Gangplank.png,hard,"Build armor, avoid his barrels."
Garen,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Garen.png,easy,"Build armor, avoid his spin."
Gnar,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Gnar.png,medium,"Build armor, avoid his mega form."
Gragas,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Gragas.png,medium,"Build magic resist, avoid his E."
Graves,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Graves.png,medium,"Build armor, avoid his smoke screen."
Gwen,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Gwen.png,medium,"Build magic resist, avoid her scissors."
Hecarim,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Hecarim.png,medium,"Build armor, avoid his charge."
Heimerdinger,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Heimerdinger.png,medium,"Build magic resist, destroy his turrets."
Hwei,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Hwei.png,medium,"Build magic resist, avoid his combinations."
Illaoi,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Illaoi.png,hard,"Build armor, avoid her tentacles."
Irelia,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Irelia.png,hard,"Build armor, avoid her Q resets."
Ivern,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ivern.png,easy,"Build magic resist, avoid his root."
Janna,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Janna.png,easy,"Build magic resist, avoid her tornado."
JarvanIV,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/JarvanIV.png,medium,"Build armor, avoid his flag combo."
Jax,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Jax.png,hard,"Build armor, avoid extended trades."
Jayce,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Jayce.png,hard,"Build armor, avoid his hammer form."
Jhin,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Jhin.png,easy,"Build armor, avoid his fourth shot."
Jinx,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Jinx.png,easy,"Build armor, avoid her rockets."
K'Sante,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/KSante.png,medium,"Build armor, avoid his W."
Kaisa,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Kaisa.png,easy,"Build armor, avoid her isolated Q."
Kalista,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Kalista.png,easy,"Build armor, avoid her rend stacks."
Karma,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Karma.png,medium,"Build magic resist, avoid her mantra Q."
Karthus,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Karthus.png,medium,"Build magic resist, avoid his Q."
Kassadin,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Kassadin.png,medium,"Build magic resist, avoid his silence."
Katarina,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Katarina.png,medium,"Build magic resist, avoid her daggers."
Kayle,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Kayle.png,medium,"Build armor, fight before level 6."
Kayn,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Kayn.png,medium,"Build armor, avoid his shadow form."
Kennen,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Kennen.png,hard,"Build magic resist, avoid his stun."
Khazix,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Khazix.png,medium,"Build armor, avoid isolation."
Kindred,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Kindred.png,medium,"Build armor, avoid her ultimate."
Kled,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Kled.png,medium,"Build armor, avoid his remount."
KogMaw,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/KogMaw.png,easy,"Build armor, avoid his W range."
Leblanc,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Leblanc.png,hard,"Build magic resist, avoid her chains."
LeeSin,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/LeeSin.png,medium,"Build armor, avoid his Q."
Leona,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Leona.png,easy,"Build armor, avoid her E-Q combo."
Lillia,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Lillia.png,medium,"Build magic resist, avoid her sleep."
Lissandra,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Lissandra.png,medium,"Build magic resist, avoid her root."
Lucian,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Lucian.png,easy,"Build armor, avoid his dash."
Lulu,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Lulu.png,easy,"Build magic resist, avoid her polymorph."
Lux,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Lux.png,medium,"Build magic resist, avoid her bind."
Malphite,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Malphite.png,medium,"Build magic resist, avoid his ultimate."
Malzahar,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Malzahar.png,medium,"Build magic resist, avoid his silence."
Maokai,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Maokai.png,medium,"Build magic resist, avoid his saplings."
MasterYi,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/MasterYi.png,easy,"Build armor, avoid his alpha strike."
Mel,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Mel.png,medium,"Build armor, avoid her crystal shards."
Milio,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Milio.png,easy,"Build magic resist, avoid his Q."
MissFortune,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/MissFortune.png,easy,"Build armor, avoid her ultimate."
Mordekaiser,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Mordekaiser.png,hard,"Build magic resist, avoid his ultimate."
Morgana,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Morgana.png,medium,"Build magic resist, avoid her bind."
Naafiri,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Naafiri.png,medium,"Build armor, avoid her pack."
Nami,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Nami.png,easy,"Build magic resist, avoid her bubble."
Nasus,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Nasus.png,medium,"Build armor, avoid his wither."
Nautilus,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Nautilus.png,easy,"Build armor, avoid his hook."
Neeko,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Neeko.png,medium,"Build magic resist, avoid her root."
Nidalee,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Nidalee.png,medium,"Build magic resist, avoid her spears."
Nilah,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Nilah.png,easy,"Build armor, avoid her Q."
Nocturne,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Nocturne.png,medium,"Build armor, avoid his fear."
Nunu,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Nunu.png,medium,"Build magic resist, avoid his snowball."
Olaf,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Olaf.png,medium,"Build armor, avoid his axes."
Orianna,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Orianna.png,medium,"Build magic resist, avoid her ball."
Ornn,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ornn.png,medium,"Build armor, avoid his brittle."
Pantheon,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Pantheon.png,medium,"Build armor, avoid his stun."
Poppy,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Poppy.png,hard,"Build armor, avoid her wall stun."
Pyke,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Pyke.png,medium,"Build armor, avoid his hook."
Qiyana,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Qiyana.png,medium,"Build armor, avoid her elements."
Quinn,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Quinn.png,hard,"Build armor, avoid her blind."
Rakan,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Rakan.png,easy,"Build magic resist, avoid his charm."
Rammus,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Rammus.png,medium,"Build magic resist, avoid his taunt."
RekSai,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/RekSai.png,medium,"Build armor, avoid her tunnels."
Rell,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Rell.png,easy,"Build armor, avoid her mount."
Renata,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Renata.png,easy,"Build magic resist, avoid her ultimate."
Renekton,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Renekton.png,hard,"Build armor, avoid his fury."
Rengar,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Rengar.png,medium,"Build armor, avoid his ferocity."
Riven,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Riven.png,hard,"Build armor, avoid her combo."
Rumble,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Rumble.png,medium,"Build magic resist, avoid his flamespitter."
Ryze,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ryze.png,medium,"Build magic resist, avoid his root."
Samira,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Samira.png,easy,"Build armor, avoid her style."
Sejuani,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sejuani.png,medium,"Build armor, avoid her stun."
Senna,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Senna.png,easy,"Build armor, avoid her root."
Seraphine,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Seraphine.png,easy,"Build magic resist, avoid her charm."
Sett,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sett.png,medium,"Build armor, avoid his W."
Shaco,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Shaco.png,medium,"Build armor, avoid his boxes."
Shen,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Shen.png,medium,"Build armor, avoid his taunt."
Shyvana,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Shyvana.png,medium,"Build armor, avoid her ultimate."
Singed,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Singed.png,medium,"Build magic resist, avoid his poison."
Sion,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sion.png,medium,"Build armor, avoid his Q."
Sivir,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sivir.png,easy,"Build armor, avoid her boomerang."
Skarner,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Skarner.png,easy,"Build armor, avoid his crystals."
Smolder,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Smolder.png,easy,"Build armor, avoid his fire breath."
Sona,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sona.png,easy,"Build magic resist, avoid her ultimate."
Soraka,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Soraka.png,easy,"Build magic resist, avoid her silence."
Swain,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Swain.png,medium,"Build magic resist, avoid his pull."
Sylas,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sylas.png,medium,"Build magic resist, avoid his chains."
Syndra,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Syndra.png,medium,"Build magic resist, avoid her spheres."
TahmKench,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/TahmKench.png,medium,"Build magic resist, avoid his devour."
Taliyah,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Taliyah.png,medium,"Build magic resist, avoid her worked ground."
Talon,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Talon.png,medium,"Build armor, avoid his rake."
Taric,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Taric.png,easy,"Build armor, avoid his stun."
Teemo,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Teemo.png,hard,"Build magic resist, avoid his mushrooms."
Thresh,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Thresh.png,medium,"Build armor, avoid his hook."
Tristana,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Tristana.png,easy,"Build armor, avoid her jump."
Trundle,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Trundle.png,hard,"Build armor, avoid his pillar."
TwistedFate,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/TwistedFate.png,medium,"Build magic resist, avoid his gold card."
Twitch,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Twitch.png,easy,"Build armor, avoid his poison."
Udyr,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Udyr.png,medium,"Build armor, avoid his bear stance."
Urgot,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Urgot.png,medium,"Build armor, avoid his knees."
Varus,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Varus.png,easy,"Build armor, avoid his arrows."
Vayne,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Vayne.png,easy,"Build armor, avoid her silver bolts."
Veigar,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Veigar.png,medium,"Build magic resist, avoid his cage."
Velkoz,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Velkoz.png,medium,"Build magic resist, avoid his true damage."
Vex,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Vex.png,medium,"Build magic resist, avoid her fear."
Vi,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Vi.png,medium,"Build armor, avoid her Q."
Viego,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Viego.png,medium,"Build armor, avoid his mist."
Viktor,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Viktor.png,medium,"Build magic resist, avoid his laser."
Vladimir,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Vladimir.png,medium,"Build magic resist, avoid his pool."
Volibear,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Volibear.png,medium,"Build armor, avoid his lightning."
Warwick,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Warwick.png,medium,"Build armor, avoid his ultimate."
MonkeyKing,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/MonkeyKing.png,medium,"Build armor, avoid his clone."
Xayah,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Xayah.png,easy,"Build armor, avoid her feathers."
Xerath,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Xerath.png,medium,"Build magic resist, avoid his Q."
XinZhao,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/XinZhao.png,medium,"Build armor, avoid his knockup."
Yasuo,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Yasuo.png,medium,"Build armor, avoid his tornado."
Yone,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Yone.png,medium,"Build armor, avoid his E."
Yorick,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Yorick.png,medium,"Build armor, avoid his ghouls."
Yuumi,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Yuumi.png,easy,"Build magic resist, avoid her Q."
Zac,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zac.png,medium,"Build magic resist, avoid his slingshot."
Zed,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zed.png,medium,"Build armor, avoid his shadows."
Zeri,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zeri.png,easy,"Build armor, avoid her ultimate."
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ziggs.png,medium,"Build magic resist, avoid his bombs."
Zilean,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zilean.png,easy,"Build magic resist, avoid his bombs."
Zoe,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zoe.png,medium,"Build magic resist, avoid her sleep."
Zyra,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zyra.png,medium,"Build magic resist, avoid her plants."
